,Back to Contents,Data 1: Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
1,Date,Henry Hub Natural Gas Spot Price (Dollars per Million Btu)
2,1997-06-30 00:00:00,2.49
3,1998-06-30 00:00:00,2.09
4,1999-06-30 00:00:00,2.27
5,2000-06-30 00:00:00,4.31
6,2001-06-30 00:00:00,3.96
7,2002-06-30 00:00:00,3.38
8,2003-06-30 00:00:00,5.47
9,2004-06-30 00:00:00,5.89
10,2005-06-30 00:00:00,8.69
11,2006-06-30 00:00:00,6.73
12,2007-06-30 00:00:00,6.97
13,2008-06-30 00:00:00,8.86
14,2009-06-30 00:00:00,3.94
15,2010-06-30 00:00:00,4.37
16,2011-06-30 00:00:00,4
17,2012-06-30 00:00:00,2.75
18,2013-06-30 00:00:00,3.73
19,2014-06-30 00:00:00,4.37
20,2015-06-30 00:00:00,2.62
21,2016-06-30 00:00:00,2.52
22,2017-06-30 00:00:00,2.99
23,2018-06-30 00:00:00,3.15
